author,title,amazon_link,category,notes_slug,summary
Neal Stephenson,Seveneves,http://amzn.to/2mywX6g,,,"After writing Anathem, Neal asked himself ""what if instead of 90% plot and 10% orbital mechanics, the next book was the other way around?""  Snark aside, I loved this, especially the first 2 acts."
Neal Stephenson,Anathem,http://amzn.to/2lXDElC,,,If academia decided to really double-down on the ivory town.
Gordon Livingston,"Too Soon Old, Too Late Smart",http://amzn.to/2jnCH17,,,"30 statements about making sense of mortality, relationships and modern life.  Some of the points hit so deeply it was physically uncomfortable to read at times.  This is one of those books you reread portions of every few months until the work their way into your being.  Recommended."
Daniel Yergin,The Quest,http://amzn.to/2iGKJ4P,,,"Tackling the massive topic of global energy, politics, national security and the course of events that got us to the modern day.  Mostly told through small vignettes to illustrate particular points, this grabbed me much more than expected."
Eric Greitens,Resilience,http://amzn.to/2ig8IJl,,,Lessons on cultivating resiliance from a Navy Seal.  I made it through the first 100 pagse but it feels like a book to be digested in small chapters over time.
Yuval Harari,Sapiens,http://amzn.to/2j1iv5a,,,"A Big History book ala Guns, Germs and Steel.  Interesting points but, similar to GG&S, the scope is so broad I found it difficult to overcome my skepticism that the author is only picking from the surface to support their chosen narrative. I read the first half and only skimmed the latter.  I may just not like the genre."
Jean Edward Smith,FDR,http://amzn.to/2iGwhho,,,"Detailed biography of of the third great President, along with Washington and Lincoln.  I had not appreciated how much the current scope of the executive branch and the involvement of the US government in well-being of all Americans was a result of his terms.  See also PBS's exellent series [The Roosevelts](http://www.pbs.org/kenburns/the-roosevelts)."
Arnold Bennett,How to Live on 24 Hours a Day,http://amzn.to/2iH06dz,,,"A short essay on how not to waste your life.  If Seneca's _On the Shortness of Life_ is the strategy, this is one set of simple tactics."
Charles Mann,1491,http://amzn.to/2iGYuQW,,,"The New World as it actually was.  Contrary to what is taught in school, Columbus did not land in a sparsely settled, near-pristine wilderness and instead encountered a continent populated by advanced civilizations."
John Vaillant,The Tiger,http://amzn.to/2i9Z50A,,,Tiger in Russia turns man-eater.  Combo special ops/animal warden team hunts tiger.  Tiger hunts them.  Insanity that is Russia.  Man vs. alpha preditor.
Tim Ferriss,Tools of Titans,http://amzn.to/2ia7rW8,,,"Agree or disagrees Ferriss' priorities, he's excellent at distilling things down into actionable life-hacks.  This is his most wide-reaching book yet.  Lots of things to apply to your life."
Ryan Avent,The Wealth of Humans,http://amzn.to/2hv0kXw,,,How does technological progress alter the relationship of Labor and Capital.  What does the future look like when there isn't enough work for the members of society?  I can't tell whether the book was superficial or I simply didn't understand it.
Daron Acemoglu & James Robinson,Why Nations Fail,http://amzn.to/2ig8UIE,,,Extractive political and economic institutions that maintain advantage for the minority elite are largely responsible for why nations fail to develop economically.
Steward Brand,How Buildings Learn,http://amzn.to/2igd1UL,,,"Got distracted half way through, but still got a lot out of it.  I've always considered architecture and software development to have interesting parallels and this reinforced that idea.  Biggest insight: certain buildings being like blue jeans where they improve with use and wear.  Many things that interest me share that concept."
Mortimer Adler & Charles Van Doren,How to Read a Book,http://amzn.to/2inkioh,,,"How-to guide for reading books.  While seemingly obvious, most of us were not taught the skills necessary for digesting difficult reading material.  This book presents a 4-level approach for understanding great books.  Ironically, I didn't finish it."
Christian Rudder,Dataclysm,http://amzn.to/2hy15kg,,,A study of how of human behavior on social networks.  How do people think and act towards their fellow members of society when no ones looking.  Many of the problems that came to light in 2016 have been around for a long time.
Reid Hoffman,The Alliance,http://amzn.to/2iGJ8fk,,,"Thoughts on the nature of modern employer-employee relationships.  Some takeaways for me, much of it for managers.  Might have been better as a longform blog post."
